value,Units,Periods
165.0,GAS_3,Tue-15
158.0,GAS_4,Tue-15
301.666666667,COAL_1,Tue-16
233.333333333,COAL_2,Tue-16
0.0,DIESEL_1,Tue-16
87.0,DIESEL_2,Tue-16
20.0,DIESEL_3,Tue-16
12.0,DIESEL_4,Tue-16
220.0,GAS_1,Tue-16
210.0,GAS_2,Tue-16
165.0,GAS_3,Tue-16
158.0,GAS_4,Tue-16
280.666666667,COAL_1,Tue-17
233.333333333,COAL_2,Tue-17
0.0,DIESEL_1,Tue-17
87.0,DIESEL_2,Tue-17
20.0,DIESEL_3,Tue-17
12.0,DIESEL_4,Tue-17
220.0,GAS_1,Tue-17
210.0,GAS_2,Tue-17
165.0,GAS_3,Tue-17
158.0,GAS_4,Tue-17
258.666666667,COAL_1,Tue-18
233.333333333,COAL_2,Tue-18
0.0,DIESEL_1,Tue-18
87.0,DIESEL_2,Tue-18
20.0,DIESEL_3,Tue-18
12.0,DIESEL_4,Tue-18
220.0,GAS_1,Tue-18
210.0,GAS_2,Tue-18
165.0,GAS_3,Tue-18
158.0,GAS_4,Tue-18
248.666666667,COAL_1,Tue-19
233.333333333,COAL_2,Tue-19
0.0,DIESEL_1,Tue-19
87.0,DIESEL_2,Tue-19
20.0,DIESEL_3,Tue-19
12.0,DIESEL_4,Tue-19
220.0,GAS_1,Tue-19
210.0,GAS_2,Tue-19
165.0,GAS_3,Tue-19
158.0,GAS_4,Tue-19
256.666666667,COAL_1,Tue-20
233.333333333,COAL_2,Tue-20
0.0,DIESEL_1,Tue-20
87.0,DIESEL_2,Tue-20
20.0,DIESEL_3,Tue-20
12.0,DIESEL_4,Tue-20
220.0,GAS_1,Tue-20
210.0,GAS_2,Tue-20
165.0,GAS_3,Tue-20
158.0,GAS_4,Tue-20
250.666666667,COAL_1,Tue-21
233.333333333,COAL_2,Tue-21
0.0,DIESEL_1,Tue-21
87.0,DIESEL_2,Tue-21
20.0,DIESEL_3,Tue-21
12.0,DIESEL_4,Tue-21
220.0,GAS_1,Tue-21
210.0,GAS_2,Tue-21
165.0,GAS_3,Tue-21
158.0,GAS_4,Tue-21
228.666666667,COAL_1,Tue-22
233.333333333,COAL_2,Tue-22
0.0,DIESEL_1,Tue-22
87.0,DIESEL_2,Tue-22
20.0,DIESEL_3,Tue-22
12.0,DIESEL_4,Tue-22
220.0,GAS_1,Tue-22
210.0,GAS_2,Tue-22
165.0,GAS_3,Tue-22
158.0,GAS_4,Tue-22
183.0,COAL_1,Tue-23
255.0,COAL_2,Tue-23
0.0,DIESEL_1,Tue-23
87.0,DIESEL_2,Tue-23
20.0,DIESEL_3,Tue-23
12.0,DIESEL_4,Tue-23
220.0,GAS_1,Tue-23
210.0,GAS_2,Tue-23
165.0,GAS_3,Tue-23
158.0,GAS_4,Tue-23
0.0,COAL_1,Wed-00
377.0,COAL_2,Wed-00
40.0,DIESEL_1,Wed-00
87.0,DIESEL_2,Wed-00
20.0,DIESEL_3,Wed-00
12.0,DIESEL_4,Wed-00
220.0,GAS_1,Wed-00
210.0,GAS_2,Wed-00
165.0,GAS_3,Wed-00
158.0,GAS_4,Wed-00
0.0,COAL_1,Wed-01
324.0,COAL_2,Wed-01
80.0,DIESEL_1,Wed-01
87.0,DIESEL_2,Wed-01
20.0,DIESEL_3,Wed-01
12.0,DIESEL_4,Wed-01
220.0,GAS_1,Wed-01
210.0,GAS_2,Wed-01
165.0,GAS_3,Wed-01
158.0,GAS_4,Wed-01
0.0,COAL_1,Wed-02
302.0,COAL_2,Wed-02
90.0,DIESEL_1,Wed-02
87.0,DIESEL_2,Wed-02
20.0,DIESEL_3,Wed-02
12.0,DIESEL_4,Wed-02
220.0,GAS_1,Wed-02
210.0,GAS_2,Wed-02
165.0,GAS_3,Wed-02
158.0,GAS_4,Wed-02
0.0,COAL_1,Wed-03
292.0,COAL_2,Wed-03
90.0,DIESEL_1,Wed-03
87.0,DIESEL_2,Wed-03
20.0,DIESEL_3,Wed-03
12.0,DIESEL_4,Wed-03
220.0,GAS_1,Wed-03
210.0,GAS_2,Wed-03
165.0,GAS_3,Wed-03
158.0,GAS_4,Wed-03
0.0,COAL_1,Wed-04
294.0,COAL_2,Wed-04
90.0,DIESEL_1,Wed-04
87.0,DIESEL_2,Wed-04
20.0,DIESEL_3,Wed-04
12.0,DIESEL_4,Wed-04
220.0,GAS_1,Wed-04
210.0,GAS_2,Wed-04
165.0,GAS_3,Wed-04
158.0,GAS_4,Wed-04
0.0,COAL_1,Wed-05
323.0,COAL_2,Wed-05
90.0,DIESEL_1,Wed-05
87.0,DIESEL_2,Wed-05
20.0,DIESEL_3,Wed-05
12.0,DIESEL_4,Wed-05
220.0,GAS_1,Wed-05
210.0,GAS_2,Wed-05
165.0,GAS_3,Wed-05
158.0,GAS_4,Wed-05
0.0,COAL_1,Wed-06
365.0,COAL_2,Wed-06
90.0,DIESEL_1,Wed-06
87.0,DIESEL_2,Wed-06
20.0,DIESEL_3,Wed-06
12.0,DIESEL_4,Wed-06
220.0,GAS_1,Wed-06
210.0,GAS_2,Wed-06
165.0,GAS_3,Wed-06
158.0,GAS_4,Wed-06
3.97903932026e-13,COAL_1,Wed-07
398.0,COAL_2,Wed-07
90.0,DIESEL_1,Wed-07
87.0,DIESEL_2,Wed-07
20.0,DIESEL_3,Wed-07
12.0,DIESEL_4,Wed-07
220.0,GAS_1,Wed-07
210.0,GAS_2,Wed-07
165.0,GAS_3,Wed-07
158.0,GAS_4,Wed-07
3.41060513165e-13,COAL_1,Wed-08
432.0,COAL_2,Wed-08
90.0,DIESEL_1,Wed-08
87.0,DIESEL_2,Wed-08
20.0,DIESEL_3,Wed-08
12.0,DIESEL_4,Wed-08
220.0,GAS_1,Wed-08
210.0,GAS_2,Wed-08
165.0,GAS_3,Wed-08
158.0,GAS_4,Wed-08
3.97903932026e-13,COAL_1,Wed-09
455.0,COAL_2,Wed-09
90.0,DIESEL_1,Wed-09
87.0,DIESEL_2,Wed-09
20.0,DIESEL_3,Wed-09
12.0,DIESEL_4,Wed-09
220.0,GAS_1,Wed-09
210.0,GAS_2,Wed-09
165.0,GAS_3,Wed-09
158.0,GAS_4,Wed-09
1.13686837722e-13,COAL_1,Wed-10
474.0,COAL_2,Wed-10
90.0,DIESEL_1,Wed-10
87.0,DIESEL_2,Wed-10
20.0,DIESEL_3,Wed-10
12.0,DIESEL_4,Wed-10
220.0,GAS_1,Wed-10
210.0,GAS_2,Wed-10
165.0,GAS_3,Wed-10
158.0,GAS_4,Wed-10
2.84217094304e-13,COAL_1,Wed-11
479.0,COAL_2,Wed-11
90.0,DIESEL_1,Wed-11
87.0,DIESEL_2,Wed-11
20.0,DIESEL_3,Wed-11
12.0,DIESEL_4,Wed-11
220.0,GAS_1,Wed-11
210.0,GAS_2,Wed-11
165.0,GAS_3,Wed-11
158.0,GAS_4,Wed-11
1.70530256582e-13,COAL_1,Wed-12
471.0,COAL_2,Wed-12
90.0,DIESEL_1,Wed-12
87.0,DIESEL_2,Wed-12
20.0,DIESEL_3,Wed-12
12.0,DIESEL_4,Wed-12
220.0,GAS_1,Wed-12
210.0,GAS_2,Wed-12
165.0,GAS_3,Wed-12
158.0,GAS_4,Wed-12
2.27373675443e-13,COAL_1,Wed-13
473.0,COAL_2,Wed-13
90.0,DIESEL_1,Wed-13
87.0,DIESEL_2,Wed-13
20.0,DIESEL_3,Wed-13
12.0,DIESEL_4,Wed-13
220.0,GAS_1,Wed-13
210.0,GAS_2,Wed-13
165.0,GAS_3,Wed-13
158.0,GAS_4,Wed-13
1.13686837722e-13,COAL_1,Wed-14
471.0,COAL_2,Wed-14
90.0,DIESEL_1,Wed-14
87.0,DIESEL_2,Wed-14
20.0,DIESEL_3,Wed-14
12.0,DIESEL_4,Wed-14
220.0,GAS_1,Wed-14
210.0,GAS_2,Wed-14
165.0,GAS_3,Wed-14
158.0,GAS_4,Wed-14
1.13686837722e-13,COAL_1,Wed-15
461.0,COAL_2,Wed-15
90.0,DIESEL_1,Wed-15
87.0,DIESEL_2,Wed-15
20.0,DIESEL_3,Wed-15
12.0,DIESEL_4,Wed-15
220.0,GAS_1,Wed-15
210.0,GAS_2,Wed-15
165.0,GAS_3,Wed-15
158.0,GAS_4,Wed-15
0.0,COAL_1,Wed-16
446.0,COAL_2,Wed-16
90.0,DIESEL_1,Wed-16
87.0,DIESEL_2,Wed-16
20.0,DIESEL_3,Wed-16
12.0,DIESEL_4,Wed-16
220.0,GAS_1,Wed-16
210.0,GAS_2,Wed-16
165.0,GAS_3,Wed-16
158.0,GAS_4,Wed-16
1.13686837722e-13,COAL_1,Wed-17
426.0,COAL_2,Wed-17
90.0,DIESEL_1,Wed-17
