id,solutionStartTime,solutionEndTime
WORKORDER_AWRB858754001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB859790001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB866000001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRAF/0265_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:30:00.000
WORKORDER_AWRB851808001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB855126001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB867408001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB868115001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB868600001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB869346001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 15:00:00.000
WORKORDER_AWRB853141001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB858722001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB859451001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB860800001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB864992001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB868994001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB869204001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB869255001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB869508001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_AWRB874450001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 16:00:00.000
WORKORDER_A388AWR-3C-D0000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-16 10:20:00.000
WORKORDER_AWRAF/0925_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-16 10:20:00.000
WORKORDER_A388AWR-3C-C0000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-18 15:03:00.000
WORKORDER_A388AWR-3C-CB000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-18 15:03:00.000
WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-21 08:48:00.000
WORKORDER_A388AWR-3C_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-05-28 07:35:00.000
WORKORDER_AWRAF/0655_BEDFORD_EAGLENA,2019-04-15 06:06:00.000,2019-04-15 06:48:00.000
WORKORDER_AWRB870901001_BEDFORD_EAGLENA,2019-04-15 06:16:00.000,2019-04-15 08:16:00.000
WORKORDER_AWRB859786001_BEDFORD_EAGLENA,2019-04-15 06:36:00.000,2019-04-15 11:36:00.000
WORKORDER_AWRAF/0233_BEDFORD_EAGLENA,2019-04-15 06:40:00.000,2019-04-15 07:43:00.000
