value,Units,Periods
0.0,DIESEL_4,Wed-10
0.0,GAS_1,Wed-10
52.0,GAS_2,Wed-10
165.0,GAS_3,Wed-10
158.0,GAS_4,Wed-10
300.0,COAL_1,Wed-11
589.0,COAL_2,Wed-11
90.0,DIESEL_1,Wed-11
87.0,DIESEL_2,Wed-11
0.0,DIESEL_3,Wed-11
0.0,DIESEL_4,Wed-11
0.0,GAS_1,Wed-11
52.0,GAS_2,Wed-11
165.0,GAS_3,Wed-11
158.0,GAS_4,Wed-11
300.0,COAL_1,Wed-12
581.0,COAL_2,Wed-12
90.0,DIESEL_1,Wed-12
87.0,DIESEL_2,Wed-12
0.0,DIESEL_3,Wed-12
0.0,DIESEL_4,Wed-12
0.0,GAS_1,Wed-12
52.0,GAS_2,Wed-12
165.0,GAS_3,Wed-12
158.0,GAS_4,Wed-12
300.0,COAL_1,Wed-13
583.0,COAL_2,Wed-13
90.0,DIESEL_1,Wed-13
87.0,DIESEL_2,Wed-13
0.0,DIESEL_3,Wed-13
0.0,DIESEL_4,Wed-13
0.0,GAS_1,Wed-13
52.0,GAS_2,Wed-13
165.0,GAS_3,Wed-13
158.0,GAS_4,Wed-13
300.0,COAL_1,Wed-14
581.0,COAL_2,Wed-14
90.0,DIESEL_1,Wed-14
87.0,DIESEL_2,Wed-14
0.0,DIESEL_3,Wed-14
0.0,DIESEL_4,Wed-14
0.0,GAS_1,Wed-14
52.0,GAS_2,Wed-14
165.0,GAS_3,Wed-14
158.0,GAS_4,Wed-14
300.0,COAL_1,Wed-15
571.0,COAL_2,Wed-15
90.0,DIESEL_1,Wed-15
87.0,DIESEL_2,Wed-15
0.0,DIESEL_3,Wed-15
2.23376872555e-13,DIESEL_4,Wed-15
0.0,GAS_1,Wed-15
52.0,GAS_2,Wed-15
165.0,GAS_3,Wed-15
158.0,GAS_4,Wed-15
300.0,COAL_1,Wed-16
600.0,COAL_2,Wed-16
90.0,DIESEL_1,Wed-16
87.0,DIESEL_2,Wed-16
0.0,DIESEL_3,Wed-16
8.0,DIESEL_4,Wed-16
0.0,GAS_1,Wed-16
0.0,GAS_2,Wed-16
165.0,GAS_3,Wed-16
158.0,GAS_4,Wed-16
300.0,COAL_1,Wed-17
588.0,COAL_2,Wed-17
90.0,DIESEL_1,Wed-17
87.0,DIESEL_2,Wed-17
0.0,DIESEL_3,Wed-17
0.0,DIESEL_4,Wed-17
0.0,GAS_1,Wed-17
0.0,GAS_2,Wed-17
165.0,GAS_3,Wed-17
158.0,GAS_4,Wed-17
300.0,COAL_1,Wed-18
565.0,COAL_2,Wed-18
90.0,DIESEL_1,Wed-18
87.0,DIESEL_2,Wed-18
0.0,DIESEL_3,Wed-18
0.0,DIESEL_4,Wed-18
0.0,GAS_1,Wed-18
0.0,GAS_2,Wed-18
165.0,GAS_3,Wed-18
158.0,GAS_4,Wed-18
300.0,COAL_1,Wed-19
555.0,COAL_2,Wed-19
90.0,DIESEL_1,Wed-19
87.0,DIESEL_2,Wed-19
0.0,DIESEL_3,Wed-19
0.0,DIESEL_4,Wed-19
0.0,GAS_1,Wed-19
0.0,GAS_2,Wed-19
165.0,GAS_3,Wed-19
158.0,GAS_4,Wed-19
300.0,COAL_1,Wed-20
563.0,COAL_2,Wed-20
90.0,DIESEL_1,Wed-20
87.0,DIESEL_2,Wed-20
0.0,DIESEL_3,Wed-20
0.0,DIESEL_4,Wed-20
0.0,GAS_1,Wed-20
0.0,GAS_2,Wed-20
165.0,GAS_3,Wed-20
158.0,GAS_4,Wed-20
300.0,COAL_1,Wed-21
557.0,COAL_2,Wed-21
90.0,DIESEL_1,Wed-21
87.0,DIESEL_2,Wed-21
0.0,DIESEL_3,Wed-21
0.0,DIESEL_4,Wed-21
0.0,GAS_1,Wed-21
0.0,GAS_2,Wed-21
165.0,GAS_3,Wed-21
